Client_ID,Age,Gender,Location,Income,User_Interest,Acquisition_Source,Device_Type,Engagement_Time_Minutes,Price_Sensitivity,Purchase_Frequency,Average_Order_Value,Cluster,Cluster_Name
EA-01502,37,Female,Suburban,56500,Skincare,Referral,Desktop,3.1,High,1,753.12,2,Self-Care Sena (Facebook One-Timers)
EA-02587,22,Female,Suburban,86000,Skincare,Facebook Ad,Mobile,1.2,Low,1,474.01,2,Self-Care Sena (Facebook One-Timers)
EA-02654,60,Female,Suburban,94000,Wellness,Organic Search,Tablet,11.3,Low,4,2500.0,1,Glow Ke Nawab (Organic VIPs)
EA-01056,43,Male,Urban,91500,Anti-aging,Organic Search,Mobile,13.5,Low,5,2256.96,1,Glow Ke Nawab (Organic VIPs)
EA-00706,32,Female,Urban,71500,Skincare,Groupon,Mobile,1.2,Medium,1,243.27,0,Gayab Grahak (Groupon One-Timers)
EA-00107,29,Female,Suburban,41500,Bargains,Groupon,Desktop,5.5,High,1,451.92,0,Gayab Grahak (Groupon One-Timers)
EA-00590,24,Female,Urban,33500,Bargains,Facebook Ad,Mobile,3.9,High,1,234.25,2,Self-Care Sena (Facebook One-Timers)
EA-02469,30,Female,Suburban,79000,Skincare,Groupon,Mobile,4.3,High,1,342.78,0,Gayab Grahak (Groupon One-Timers)
EA-02414,28,Female,Rural,64000,Bargains,Groupon,Desktop,5.3,High,1,343.63,0,Gayab Grahak (Groupon One-Timers)
EA-01601,43,Female,Rural,64500,Wellness,Referral,Tablet,6.2,Medium,1,861.97,3,Hamesha 25 Club (Referral Regulars)
EA-02465,26,Female,Suburban,40000,Bargains,Facebook Ad,Mobile,4.5,Medium,1,381.53,2,Self-Care Sena (Facebook One-Timers)
EA-00229,19,Female,Suburban,32000,Skincare,Groupon,Mobile,5.0,High,1,330.48,0,Gayab Grahak (Groupon One-Timers)
EA-00916,33,Female,Urban,37500,Anti-aging,Referral,Desktop,11.9,Low,2,790.3,3,Hamesha 25 Club (Referral Regulars)
EA-00795,34,Female,Urban,35000,Bargains,Facebook Ad,Mobile,2.8,High,1,187.65,2,Self-Care Sena (Facebook One-Timers)
EA-03022,33,Female,Urban,128000,Wellness,Organic Search,Mobile,7.5,Medium,1,1027.79,3,Hamesha 25 Club (Referral Regulars)
EA-03544,24,Female,Suburban,60500,Bargains,Facebook Ad,Mobile,1.8,Medium,1,349.27,2,Self-Care Sena (Facebook One-Timers)
EA-01074,39,Female,Suburban,92500,Anti-aging,Referral,Desktop,15.5,High,2,720.65,3,Hamesha 25 Club (Referral Regulars)
EA-03352,33,Female,Suburban,60000,Skincare,Facebook Ad,Mobile,3.9,Medium,1,330.18,2,Self-Care Sena (Facebook One-Timers)
EA-01745,56,Female,Urban,106000,Skincare,Organic Search,Desktop,10.4,Medium,3,2046.31,1,Glow Ke Nawab (Organic VIPs)
EA-01085,25,Female,Urban,84000,Anti-aging,Referral,Mobile,7.1,High,3,1066.98,3,Hamesha 25 Club (Referral Regulars)
EA-00927,24,Female,Urban,32000,Skincare,Facebook Ad,Mobile,2.5,High,1,380.65,2,Self-Care Sena (Facebook One-Timers)
EA-03050,26,Female,Urban,55000,Bargains,Facebook Ad,Mobile,2.5,High,1,409.74,2,Self-Care Sena (Facebook One-Timers)
EA-01118,47,Female,Urban,149000,Anti-aging,Organic Search,Mobile,15.9,Low,4,2020.17,1,Glow Ke Nawab (Organic VIPs)
EA-00643,42,Female,Urban,75500,Bargains,Facebook Ad,Tablet,0.7,High,1,150.0,2,Self-Care Sena (Facebook One-Timers)
EA-04768,38,Female,Suburban,56500,Wellness,Groupon,Desktop,3.4,High,1,298.05,0,Gayab Grahak (Groupon One-Timers)
EA-00502,36,Female,Urban,88000,Skincare,Organic Search,Tablet,10.4,Low,1,1963.33,3,Hamesha 25 Club (Referral Regulars)
EA-04067,33,Female,Urban,49500,Bargains,Facebook Ad,Mobile,2.8,High,1,265.42,2,Self-Care Sena (Facebook One-Timers)
EA-00334,46,Female,Suburban,141000,Bargains,Organic Search,Desktop,14.5,Medium,2,1592.53,1,Glow Ke Nawab (Organic VIPs)
EA-04685,38,Female,Suburban,40000,Anti-aging,Referral,Desktop,2.7,Medium,3,1065.1,3,Hamesha 25 Club (Referral Regulars)
EA-00487,34,Female,Urban,31500,Bargains,Groupon,Mobile,2.9,High,1,192.88,0,Gayab Grahak (Groupon One-Timers)
EA-01963,38,Female,Urban,57500,Bargains,Groupon,Mobile,4.7,High,1,355.64,0,Gayab Grahak (Groupon One-Timers)
EA-00394,47,Female,Suburban,114500,Anti-aging,Organic Search,Desktop,20.3,Medium,3,1734.43,1,Glow Ke Nawab (Organic VIPs)
EA-04843,31,Female,Suburban,50500,Bargains,Facebook Ad,Mobile,8.0,High,1,418.32,2,Self-Care Sena (Facebook One-Timers)
EA-04867,34,Male,Suburban,66500,Bargains,Facebook Ad,Mobile,4.2,High,1,351.03,2,Self-Care Sena (Facebook One-Timers)
EA-01756,33,Female,Urban,63500,Skincare,Groupon,Mobile,1.0,Medium,1,442.51,0,Gayab Grahak (Groupon One-Timers)
EA-02516,63,Female,Urban,135500,Wellness,Organic Search,Desktop,16.8,Low,4,1994.05,1,Glow Ke Nawab (Organic VIPs)
EA-03586,43,Female,Suburban,143500,Skincare,Organic Search,Mobile,12.2,Low,4,1815.5,1,Glow Ke Nawab (Organic VIPs)
EA-04316,27,Female,Urban,51000,Bargains,Groupon,Mobile,1.9,High,1,347.15,0,Gayab Grahak (Groupon One-Timers)
EA-04967,34,Female,Rural,42500,Bargains,Facebook Ad,Mobile,4.5,High,1,477.23,2,Self-Care Sena (Facebook One-Timers)
EA-02100,40,Female,Urban,44000,Bargains,Facebook Ad,Mobile,1.1,High,1,277.6,2,Self-Care Sena (Facebook One-Timers)
EA-03600,29,Female,Urban,69000,Wellness,Groupon,Desktop,1.2,Medium,3,489.79,0,Gayab Grahak (Groupon One-Timers)
EA-04122,51,Female,Urban,64000,Wellness,Organic Search,Desktop,11.7,Medium,5,2107.85,1,Glow Ke Nawab (Organic VIPs)
EA-00030,39,Female,Urban,134500,Skincare,Organic Search,Desktop,10.6,Medium,4,1687.49,1,Glow Ke Nawab (Organic VIPs)
EA-00066,19,Female,Suburban,22000,Bargains,Groupon,Mobile,4.2,High,1,427.97,0,Gayab Grahak (Groupon One-Timers)
EA-00839,30,Female,Urban,55500,Bargains,Groupon,Mobile,3.0,High,1,199.68,0,Gayab Grahak (Groupon One-Timers)
EA-03907,29,Female,Suburban,99000,Skincare,Organic Search,Desktop,19.4,Medium,3,1908.69,1,Glow Ke Nawab (Organic VIPs)
EA-03774,54,Female,Urban,118000,Anti-aging,Organic Search,Desktop,13.8,Low,2,1438.3,1,Glow Ke Nawab (Organic VIPs)
EA-04636,21,Female,Suburban,60500,Skincare,Facebook Ad,Mobile,5.9,Low,1,238.68,2,Self-Care Sena (Facebook One-Timers)
EA-03162,54,Female,Rural,104000,Skincare,Referral,Mobile,6.2,Low,2,557.43,3,Hamesha 25 Club (Referral Regulars)
EA-02660,19,Female,Rural,29500,Bargains,Facebook Ad,Mobile,7.8,High,1,357.61,2,Self-Care Sena (Facebook One-Timers)
EA-04616,30,Female,Urban,84500,Bargains,Facebook Ad,Mobile,2.6,High,1,505.07,2,Self-Care Sena (Facebook One-Timers)
EA-04629,27,Female,Suburban,60000,Bargains,Facebook Ad,Desktop,2.0,High,1,451.62,2,Self-Care Sena (Facebook One-Timers)
EA-02452,58,Male,Suburban,70000,Anti-aging,Organic Search,Mobile,23.5,Low,2,1828.01,1,Glow Ke Nawab (Organic VIPs)
EA-02847,42,Male,Urban,48500,Bargains,Facebook Ad,Mobile,2.9,High,1,623.97,2,Self-Care Sena (Facebook One-Timers)
EA-01145,35,Female,Suburban,71000,Bargains,Groupon,Mobile,2.0,High,1,515.04,0,Gayab Grahak (Groupon One-Timers)
EA-03079,29,Female,Rural,88000,Skincare,Groupon,Mobile,4.5,High,1,607.63,0,Gayab Grahak (Groupon One-Timers)
EA-01104,56,Female,Rural,69500,Wellness,Organic Search,Desktop,22.4,Low,5,1472.13,1,Glow Ke Nawab (Organic VIPs)
EA-00169,35,Female,Suburban,50500,Bargains,Facebook Ad,Mobile,5.1,High,1,375.11,2,Self-Care Sena (Facebook One-Timers)
EA-01671,40,Female,Urban,70000,Bargains,Facebook Ad,Tablet,1.9,High,1,379.83,2,Self-Care Sena (Facebook One-Timers)
EA-02571,29,Female,Rural,66500,Bargains,Facebook Ad,Mobile,4.1,High,1,412.73,2,Self-Care Sena (Facebook One-Timers)
EA-02378,24,Female,Suburban,61500,Anti-aging,Groupon,Mobile,7.5,High,1,471.23,0,Gayab Grahak (Groupon One-Timers)
EA-04396,22,Female,Suburban,38500,Bargains,Groupon,Mobile,2.8,High,1,346.22,0,Gayab Grahak (Groupon One-Timers)
EA-04258,24,Male,Suburban,38000,Bargains,Groupon,Mobile,0.7,High,1,150.0,0,Gayab Grahak (Groupon One-Timers)
EA-03863,48,Female,Suburban,56500,Anti-aging,Organic Search,Desktop,6.2,Medium,1,2112.21,3,Hamesha 25 Club (Referral Regulars)
EA-00024,56,Female,Urban,120000,Anti-aging,Referral,Mobile,10.8,High,1,610.29,3,Hamesha 25 Club (Referral Regulars)
EA-02634,29,Female,Rural,43000,Bargains,Groupon,Mobile,5.6,High,1,323.55,0,Gayab Grahak (Groupon One-Timers)
EA-03341,34,Female,Suburban,40000,Bargains,Facebook Ad,Mobile,1.2,High,1,493.49,2,Self-Care Sena (Facebook One-Timers)
EA-02216,36,Female,Suburban,24500,Bargains,Facebook Ad,Mobile,6.2,Medium,1,283.6,2,Self-Care Sena (Facebook One-Timers)
EA-03683,37,Female,Urban,57500,Bargains,Groupon,Mobile,4.0,High,1,489.77,0,Gayab Grahak (Groupon One-Timers)
EA-04725,30,Female,Suburban,70500,Bargains,Facebook Ad,Mobile,4.4,High,1,288.75,2,Self-Care Sena (Facebook One-Timers)
EA-01908,33,Female,Urban,61500,Bargains,Facebook Ad,Tablet,1.2,Medium,1,484.03,2,Self-Care Sena (Facebook One-Timers)
EA-00085,34,Female,Urban,56000,Bargains,Facebook Ad,Mobile,2.0,High,1,452.26,2,Self-Care Sena (Facebook One-Timers)
EA-00228,27,Female,Rural,38000,Bargains,Groupon,Mobile,5.5,Medium,4,497.32,0,Gayab Grahak (Groupon One-Timers)
