Client_ID,Age,Gender,Location,Income,User_Interest,Acquisition_Source,Device_Type,Engagement_Time_Minutes,Price_Sensitivity,Purchase_Frequency,Average_Order_Value
EA-01502,37,Female,Suburban,56500,Skincare,Referral,Desktop,3.1,High,1,753.12
EA-02587,22,Female,Suburban,86000,Skincare,Facebook Ad,Mobile,1.2,Low,1,474.01
EA-02654,60,Female,Suburban,94000,Wellness,Organic Search,Tablet,11.3,Low,4,2500.0
EA-01056,43,Male,Urban,91500,Anti-aging,Organic Search,Mobile,13.5,Low,5,2256.96
EA-00706,32,Female,Urban,71500,Skincare,Groupon,Mobile,1.2,Medium,1,243.27
EA-00107,29,Female,Suburban,41500,Bargains,Groupon,Desktop,5.5,High,1,451.92
EA-00590,24,Female,Urban,33500,Bargains,Facebook Ad,Mobile,3.9,High,1,234.25
EA-02469,30,Female,Suburban,79000,Skincare,Groupon,Mobile,4.3,High,1,342.78
EA-02414,28,Female,Rural,64000,Bargains,Groupon,Desktop,5.3,High,1,343.63
EA-01601,43,Female,Rural,64500,Wellness,Referral,Tablet,6.2,Medium,1,861.97
EA-02465,26,Female,Suburban,40000,Bargains,Facebook Ad,Mobile,4.5,Medium,1,381.53
EA-00229,19,Female,Suburban,32000,Skincare,Groupon,Mobile,5.0,High,1,330.48
EA-00916,33,Female,Urban,37500,Anti-aging,Referral,Desktop,11.9,Low,2,790.3
EA-00795,34,Female,Urban,35000,Bargains,Facebook Ad,Mobile,2.8,High,1,187.65
EA-03022,33,Female,Urban,128000,Wellness,Organic Search,Mobile,7.5,Medium,1,1027.79
EA-03544,24,Female,Suburban,60500,Bargains,Facebook Ad,Mobile,1.8,Medium,1,349.27
EA-01074,39,Female,Suburban,92500,Anti-aging,Referral,Desktop,15.5,High,2,720.65
EA-03352,33,Female,Suburban,60000,Skincare,Facebook Ad,Mobile,3.9,Medium,1,330.18
EA-01745,56,Female,Urban,106000,Skincare,Organic Search,Desktop,10.4,Medium,3,2046.31
EA-01085,25,Female,Urban,84000,Anti-aging,Referral,Mobile,7.1,High,3,1066.98
EA-00927,24,Female,Urban,32000,Skincare,Facebook Ad,Mobile,2.5,High,1,380.65
EA-03050,26,Female,Urban,55000,Bargains,Facebook Ad,Mobile,2.5,High,1,409.74
EA-01118,47,Female,Urban,149000,Anti-aging,Organic Search,Mobile,15.9,Low,4,2020.17
EA-00643,42,Female,Urban,75500,Bargains,Facebook Ad,Tablet,0.7,High,1,150.0
EA-04768,38,Female,Suburban,56500,Wellness,Groupon,Desktop,3.4,High,1,298.05
EA-00502,36,Female,Urban,88000,Skincare,Organic Search,Tablet,10.4,Low,1,1963.33
EA-04067,33,Female,Urban,49500,Bargains,Facebook Ad,Mobile,2.8,High,1,265.42
